# 해양사고 신속보고 시스템 — 기준점 목록
# 출처: KOMSA 연안여객선 기항지 공식 API(port-call-info) + 동해안·외해 등대 보충 (섬명 정식표기)
# 형식: 이름, 위도, 경도 (도-분 / N=북위, E=동경)  = 총 336개
# ⚙설정 "위치 기준점 목록"에 붙여넣기 가능

부산, 35-06.1N, 129-02.6E
제주(제주시), 33-31.5N, 126-32.4E
인천, 37-27.3N, 126-35.9E
소청도, 37-46.6N, 124-44.8E
대청도, 37-49.6N, 124-42.9E
백령도, 37-57.3N, 124-44.2E
덕적, 37-13.6N, 126-09.4E
자월도, 37-14.6N, 126-19.1E
대이작도, 37-10.7N, 126-14.9E
승봉도, 37-10.2N, 126-17.4E
하리, 37-43.7N, 126-17.2E
미법도, 37-43.5N, 126-16.2E
서검도, 37-43.9N, 126-14.2E
문갑도, 37-10.3N, 126-06.8E
굴업도, 37-11.3N, 125-59.2E
백아도, 37-04.9N, 125-57.9E
울도, 37-02.1N, 125-59.7E
지도, 37-04.0N, 126-00.7E
선수, 37-38.4N, 126-23.1E
볼음도, 37-39.9N, 126-12.7E
아차도, 37-39.6N, 126-14.1E
주문(살곶이), 37-37.9N, 126-15.7E
소연평도, 37-36.8N, 125-42.5E
대연평도, 37-39.4N, 125-42.8E
대부도, 37-17.9N, 126-34.4E
삼목, 37-30.0N, 126-27.1E
신도(옹진군), 37-30.8N, 126-26.4E
장봉도, 37-31.8N, 126-23.1E
풍도, 37-06.7N, 126-23.7E
육도(안산시 단원구), 37-05.8N, 126-27.3E
화흥포, 34-18.3N, 126-40.7E
동천, 34-12.2N, 126-37.5E
소안도, 34-10.8N, 126-38.1E
완도, 34-19.0N, 126-45.6E
청산, 34-10.9N, 126-51.2E
모황도, 34-17.3N, 126-53.8E
생일, 34-18.4N, 126-59.6E
덕우도, 34-14.9N, 127-00.8E
황제도, 34-11.4N, 127-04.5E
소모도, 34-13.8N, 126-46.3E
모도(모서), 34-12.1N, 126-45.1E
모도(모동), 34-12.0N, 126-46.2E
장도, 34-12.3N, 126-50.9E
여서도, 33-59.3N, 126-55.3E
땅끝, 34-17.9N, 126-31.8E
흑일도, 34-17.0N, 126-33.6E
산양, 34-13.6N, 126-34.6E
횡간도, 34-14.1N, 126-36.6E
넙도, 34-12.1N, 126-31.0E
서넙도, 34-11.5N, 126-29.1E
이목, 34-10.5N, 126-34.4E
당사(완도군), 34-06.3N, 126-35.9E
노력도, 34-27.9N, 126-58.0E
가학, 34-27.3N, 127-01.3E
남성, 34-19.0N, 126-36.4E
동화도, 34-17.5N, 126-36.5E
백일도, 34-17.7N, 126-35.5E
마삭도, 34-14.6N, 126-34.1E
일정, 34-21.7N, 126-59.3E
당목, 34-22.7N, 126-56.8E
서성, 34-20.3N, 126-59.7E
화전, 34-21.1N, 127-01.0E
목포, 34-46.9N, 126-23.1E
비금‧도초, 34-43.0N, 125-56.1E
흑산, 34-41.1N, 125-26.5E
