기항지,위도,경도,위도십진,경도십진,출처
부산,35-06.1N,129-02.6E,35.102400,129.043000,KOMSA
제주(제주시),33-31.5N,126-32.4E,33.525600,126.540700,KOMSA
인천,37-27.3N,126-35.9E,37.455700,126.598000,KOMSA
소청,37-46.6N,124-44.8E,37.777000,124.746300,KOMSA
대청,37-49.6N,124-42.9E,37.826900,124.714200,KOMSA
백령,37-57.3N,124-44.2E,37.955300,124.737400,KOMSA
덕적,37-13.6N,126-09.4E,37.226300,126.156500,KOMSA
자월,37-14.6N,126-19.1E,37.243200,126.318500,KOMSA
대이작,37-10.7N,126-14.9E,37.178900,126.247600,KOMSA
승봉,37-10.2N,126-17.4E,37.169800,126.290100,KOMSA
하리,37-43.7N,126-17.2E,37.727800,126.286700,KOMSA
미법,37-43.5N,126-16.2E,37.725200,126.270800,KOMSA
서검,37-43.9N,126-14.2E,37.730900,126.237500,KOMSA
문갑,37-10.3N,126-06.8E,37.171100,126.113700,KOMSA
굴업,37-11.3N,125-59.2E,37.188700,125.986900,KOMSA
백아,37-04.9N,125-57.9E,37.081161,125.965024,KOMSA
울도,37-02.1N,125-59.7E,37.035400,125.995000,KOMSA
지도,37-04.0N,126-00.7E,37.066600,126.012200,KOMSA
선수,37-38.4N,126-23.1E,37.639600,126.385000,KOMSA
볼음,37-39.9N,126-12.7E,37.665600,126.211800,KOMSA
아차,37-39.6N,126-14.1E,37.659400,126.235200,KOMSA
주문(살곶이),37-37.9N,126-15.7E,37.631300,126.261800,KOMSA
소연평,37-36.8N,125-42.5E,37.613100,125.709000,KOMSA
대연평,37-39.4N,125-42.8E,37.656200,125.714000,KOMSA
대부,37-17.9N,126-34.4E,37.297900,126.573100,KOMSA
삼목,37-30.0N,126-27.1E,37.500300,126.452300,KOMSA
신도(옹진군),37-30.8N,126-26.4E,37.513200,126.439700,KOMSA
장봉,37-31.8N,126-23.1E,37.530700,126.384800,KOMSA
풍도,37-06.7N,126-23.7E,37.112500,126.395000,KOMSA
육도(안산시 단원구),37-05.8N,126-27.3E,37.097100,126.454900,KOMSA
화흥포,34-18.3N,126-40.7E,34.304300,126.678600,KOMSA
동천,34-12.2N,126-37.5E,34.202700,126.624900,KOMSA
소안,34-10.8N,126-38.1E,34.180300,126.634300,KOMSA
완도,34-19.0N,126-45.6E,34.317000,126.760500,KOMSA
청산,34-10.9N,126-51.2E,34.181400,126.853600,KOMSA
모황,34-17.3N,126-53.8E,34.288400,126.895900,KOMSA
